omega,noise,r_crit,geometry_has_ctc,L_info,L_combined,phase
0.1,0.0,3.1622776559881265,True,1.0,1.0,Circular Time Phase
0.1,0.1,3.1622776559881265,True,0.041600000000000005,0.041600000000000005,Intermediate / Crossover
0.1,0.2,3.1622776559881265,True,0.0026000000000000003,0.0026000000000000003,Frustrated Circular Phase
0.1,0.3,3.1622776559881265,True,0.0,0.0,Frustrated Circular Phase
0.1,0.4,3.1622776559881265,True,0.0,0.0,Frustrated Circular Phase
0.1,0.5,3.1622776559881265,True,0.0,0.0,Frustrated Circular Phase
0.3111111111111111,0.0,1.7928429169697808,True,1.0,1.0,Circular Time Phase
0.3111111111111111,0.1,1.7928429169697808,True,0.041600000000000005,0.041600000000000005,Intermediate / Crossover
0.3111111111111111,0.2,1.7928429169697808,True,0.0026000000000000003,0.0026000000000000003,Frustrated Circular Phase
0.3111111111111111,0.3,1.7928429169697808,True,0.0,0.0,Frustrated Circular Phase
0.3111111111111111,0.4,1.7928429169697808,True,0.0,0.0,Frustrated Circular Phase
0.3111111111111111,0.5,1.7928429169697808,True,0.0,0.0,Frustrated Circular Phase
0.5222222222222223,0.0,1.383796816044026,True,1.0,1.0,Circular Time Phase
0.5222222222222223,0.1,1.383796816044026,True,0.041600000000000005,0.041600000000000005,Intermediate / Crossover
0.5222222222222223,0.2,1.383796816044026,True,0.0026000000000000003,0.0026000000000000003,Frustrated Circular Phase
0.5222222222222223,0.3,1.383796816044026,True,0.0,0.0,Frustrated Circular Phase
0.5222222222222223,0.4,1.383796816044026,True,0.0,0.0,Frustrated Circular Phase
0.5222222222222223,0.5,1.383796816044026,True,0.0,0.0,Frustrated Circular Phase
0.7333333333333333,0.0,1.1677484164366856,True,1.0,1.0,Circular Time Phase
0.7333333333333333,0.1,1.1677484164366856,True,0.041600000000000005,0.041600000000000005,Intermediate / Crossover
0.7333333333333333,0.2,1.1677484164366856,True,0.0026000000000000003,0.0026000000000000003,Frustrated Circular Phase
0.7333333333333333,0.3,1.1677484164366856,True,0.0,0.0,Frustrated Circular Phase
0.7333333333333333,0.4,1.1677484164366856,True,0.0,0.0,Frustrated Circular Phase
0.7333333333333333,0.5,1.1677484164366856,True,0.0,0.0,Frustrated Circular Phase
0.9444444444444444,0.0,1.0289915132093,True,1.0,1.0,Circular Time Phase
0.9444444444444444,0.1,1.0289915132093,True,0.041600000000000005,0.041600000000000005,Intermediate / Crossover
0.9444444444444444,0.2,1.0289915132093,True,0.0026000000000000003,0.0026000000000000003,Frustrated Circular Phase
0.9444444444444444,0.3,1.0289915132093,True,0.0,0.0,Frustrated Circular Phase
0.9444444444444444,0.4,1.0289915132093,True,0.0,0.0,Frustrated Circular Phase
0.9444444444444444,0.5,1.0289915132093,True,0.0,0.0,Frustrated Circular Phase
1.1555555555555557,0.0,0.9302605049030203,True,1.0,1.0,Circular Time Phase
1.1555555555555557,0.1,0.9302605049030203,True,0.041600000000000005,0.041600000000000005,Intermediate / Crossover
1.1555555555555557,0.2,0.9302605049030203,True,0.0026000000000000003,0.0026000000000000003,Frustrated Circular Phase
1.1555555555555557,0.3,0.9302605049030203,True,0.0,0.0,Frustrated Circular Phase
1.1555555555555557,0.4,0.9302605049030203,True,0.0,0.0,Frustrated Circular Phase
1.1555555555555557,0.5,0.9302605049030203,True,0.0,0.0,Frustrated Circular Phase
1.3666666666666667,0.0,0.8553989199904709,True,1.0,1.0,Circular Time Phase
1.3666666666666667,0.1,0.8553989199904709,True,0.041600000000000005,0.041600000000000005,Intermediate / Crossover
1.3666666666666667,0.2,0.8553989199904709,True,0.0026000000000000003,0.0026000000000000003,Frustrated Circular Phase
1.3666666666666667,0.3,0.8553989199904709,True,0.0,0.0,Frustrated Circular Phase
1.3666666666666667,0.4,0.8553989199904709,True,0.0,0.0,Frustrated Circular Phase
1.3666666666666667,0.5,0.8553989199904709,True,0.0,0.0,Frustrated Circular Phase
1.577777777777778,0.0,0.7961173345376779,True,1.0,1.0,Circular Time Phase
1.577777777777778,0.1,0.7961173345376779,True,0.041600000000000005,0.041600000000000005,Intermediate / Crossover
1.577777777777778,0.2,0.7961173345376779,True,0.0026000000000000003,0.0026000000000000003,Frustrated Circular Phase
1.577777777777778,0.3,0.7961173345376779,True,0.0,0.0,Frustrated Circular Phase
1.577777777777778,0.4,0.7961173345376779,True,0.0,0.0,Frustrated Circular Phase
1.577777777777778,0.5,0.7961173345376779,True,0.0,0.0,Frustrated Circular Phase
1.788888888888889,0.0,0.7476671807400818,True,1.0,1.0,Circular Time Phase
1.788888888888889,0.1,0.7476671807400818,True,0.041600000000000005,0.041600000000000005,Intermediate / Crossover
1.788888888888889,0.2,0.7476671807400818,True,0.0026000000000000003,0.0026000000000000003,Frustrated Circular Phase
1.788888888888889,0.3,0.7476671807400818,True,0.0,0.0,Frustrated Circular Phase
1.788888888888889,0.4,0.7476671807400818,True,0.0,0.0,Frustrated Circular Phase
1.788888888888889,0.5,0.7476671807400818,True,0.0,0.0,Frustrated Circular Phase
2.0,0.0,0.7071067848721065,True,1.0,1.0,Circular Time Phase
2.0,0.1,0.7071067848721065,True,0.041600000000000005,0.041600000000000005,Intermediate / Crossover
2.0,0.2,0.7071067848721065,True,0.0026000000000000003,0.0026000000000000003,Frustrated Circular Phase
2.0,0.3,0.7071067848721065,True,0.0,0.0,Frustrated Circular Phase
2.0,0.4,0.7071067848721065,True,0.0,0.0,Frustrated Circular Phase
2.0,0.5,0.7071067848721065,True,0.0,0.0,Frustrated Circular Phase
